Disease,Causes,Symptoms,Risk Factors,Treatment Options
Neurotic_excoriations,Compulsive skin picking resulting in skin sores and scarring.,"Skin sores, scabs, and scars caused by compulsive picking or scratching.","Psychological factors (stress, anxiety, OCD).","Psychological therapy, counseling, addressing underlying mental health issues."
NevoxanthoEndothelioma,Rare benign tumor of blood vessels and cells in the skin.,Red or purple nodules on the skin.,"Unknown cause, possibly genetic or vascular factors.","Surgical removal, laser therapy, monitoring for recurrence."
Nevus_sebaceous,"Congenital skin lesion composed of sebaceous (oil) glands, hair follicles, and other tissues.",Yellowish or skin-colored raised plaque on the skin.,Congenital malformation of skin structures.,"Surgical removal (if desired for cosmetic reasons), monitoring for changes."
onycholysis,"Separation of the nail from the nail bed, leading to nail plate detachment.","Loosening of the nail from the nail bed, often starting at the tips and progressing towards the cuticle.","Trauma, fungal infections, psoriasis, chemical exposure.","Identifying and treating underlying causes, protecting the affected nail, antifungal treatments if applicable."
Pemphigus,Autoimmune blistering disorder causing painful skin and mucous membrane blisters.,"Blisters and erosions on the skin, mouth, throat, nose, or genitals.",Autoimmune response targeting desmoglein proteins.,"Corticosteroids, immunosuppressive medications, plasmapheresis, biologics."
Pemphigus_foliaceous,Type of pemphigus characterized by superficial blisters and erosions on the skin.,"Superficial blisters and erosions on the skin, often on the face and upper body.",Autoimmune response targeting desmoglein 1 protein.,"Corticosteroids, immunosuppressive medications, plasmapheresis, biologics."
perioral-dermatitis,"Facial rash resembling acne around the mouth, nose, or eyes.","Red or pink papules and pustules around the mouth, nose, or eyes.","Unknown cause, possibly related to topical steroids.","Discontinuing topical steroids, oral antibiotics (tetracyclines), topical treatments."
Perleche,"Cracked and inflamed corners of the mouth, often due to yeast infection.","Redness, cracking, and pain at the corners of the mouth.","Yeast infections (Candida species), nutritional deficiencies.","Antifungal creams, topical corticosteroids, improving oral hygiene."
Pilar cyst,Common benign cyst containing keratin (skin protein) and occurring on the scalp.,"Smooth, firm, mobile cysts under the skin, often on the scalp.","Genetic predisposition, hair follicle obstruction.","Surgical removal (if desired for cosmetic reasons), monitoring for changes."
Pompholyx,"Chronic skin condition causing itchy, fluid-filled blisters on the hands and feet.","Itchy, deep-seated blisters on the palms, fingers, soles, or toes.","Unknown cause, possibly related to allergies or stress.","Topical corticosteroids, antihistamines, avoiding triggers, phototherapy."
porokeratosis,"Skin disorder characterized by small, raised bumps surrounded by a ridge.","Rough, raised bumps with a central depression, often with a ridge-like border.","Genetic mutations, sun exposure, immune factors.","Cryotherapy, topical treatments (retinoids, corticosteroids), laser therapy."
Pretibal_myxedema,Localized thickening and swelling of the skin on the lower legs.,"Thickened, swollen, and discolored skin on the lower legs.","Thyroid disorders, autoimmune conditions.","Managing underlying thyroid conditions, topical corticosteroids."
psoriasis,Chronic autoimmune condition causing rapid skin cell growth and inflammation.,"Red, scaly patches of skin, often covered with silvery scales.","Autoimmune response, genetics, environmental triggers.","Topical treatments (corticosteroids, vitamin D analogs), phototherapy, systemic medications, biologics."
PUPPP,"Pruritic urticarial papules and plaques of pregnancy, a skin condition during pregnancy.","Itchy, red, raised bumps or hives on the skin, occurring in pregnancy.","Unknown cause, possibly related to stretching skin.","Topical steroids, antihistamines, avoiding triggers, supportive care."
Puringo_nodularies,"Benign growths under the skin, often on the face and neck.","Firm, raised nodules under the skin, often painless.","Unknown cause, possibly related to hair follicles.","Surgical removal (if desired for cosmetic reasons), monitoring for changes."
Pyoderma_gangrenosum,"Rare, non-infectious skin condition causing painful ulcers.","Painful, rapidly progressing ulcers with a purple or blue border.","Autoimmune response, inflammatory disorders.","Systemic corticosteroids, immunosuppressive medications, wound care."
Pyogenic_granuloma,"Non-cancerous growth of blood vessels in the skin, often after minor injury.","Small, red, or purple growths on the skin, prone to bleeding.","Minor injuries, hormonal changes, certain medications.","Surgical removal, laser therapy, electrocautery."
Rosacea,"Chronic skin condition causing redness, visible blood vessels, and sometimes pimples.","Redness, visible blood vessels, and sometimes pimples on the face.","Unknown cause, possibly related to immune response, genetics.","Topical treatments (metronidazole, azelaic acid), oral antibiotics, laser therapy, managing triggers."
Sarcoid,"Inflammatory disease causing granulomas in various organs, including the skin.","Skin nodules, plaques, or papules, often on the face.","Unknown cause, possibly related to immune response.","Corticosteroids, immunosuppressive medications, managing symptoms."
Scabies,"Infestation of the skin by the human itch mite, causing intense itching and rash.","Intense itching, red bumps, and burrow tracks on the skin, especially in between fingers and on wrists.",Sarcoptes scabiei mite.,"Topical scabicidal medications (permethrin, ivermectin), washing bedding and clothing, treating close contacts."
Schamberg,Chronic skin condition causing discoloration and broken blood vessels.,"Brownish-red patches or discoloration, often on the legs.","Unknown cause, possibly related to capillary leakage.","Managing underlying causes, laser therapy, compression stockings."
sebaceous-hyperplasia,"Overgrowth of sebaceous glands, leading to benign yellowish bumps on the skin.","Small, yellowish or flesh-colored bumps on the skin.","Unknown cause, possibly related to aging or genetics.","Electrocautery, laser therapy, cryotherapy (for cosmetic reasons)."
Seborrheic_Keratosis_irritated,"Irritated seborrheic keratosis, a non-cancerous growth of skin cells.","Rough, bumpy growths on the skin, often with a waxy or scaly surface.","Unknown cause, possibly related to genetics or sun exposure.","Surgical removal (if desired for cosmetic reasons), cryotherapy."
seborrheic_keratosis_ruff,"Rough seborrheic keratosis, a non-cancerous growth of skin cells.","Rough, bumpy growths on the skin, often with a waxy or scaly surface.","Unknown cause, possibly related to genetics or sun exposure.","Surgical removal (if desired for cosmetic reasons), cryotherapy."
Seborrheic_Keratosis_Smooth,"Smooth seborrheic keratosis, a non-cancerous growth of skin cells.","Smooth, flat or slightly raised growths on the skin, often with a waxy surface.","Unknown cause, possibly related to genetics or sun exposure.","Surgical removal (if desired for cosmetic reasons), cryotherapy."
